Track name,Artist name,Album,Playlist name,Type,ISRC
"Loco","Melendi","Mientras No Cueste Trabajo","Lista De Javi","Playlist","ES5080600750"
"Cenizas en la eternidad","Melendi","Un alumno más","Lista De Javi","Playlist","ES5151401988"
"1STEP","Lucho RK","1STEP","Lista De Javi","Playlist","BK4DA2317052"
"Llegó la Navidad","Melendi","Llegó la Navidad","Lista De Javi","Playlist","ES5022302874"
"Clavaito","Chanel","Clavaito","Lista De Javi","Playlist","ES5022300945"
"Alucin","Eugenio Esquivel","Alucin","Lista De Javi","Playlist","QMFMF2346943"
"El Licenciao","El Barrio","Atemporal","Lista De Javi","Playlist","ES21S2200024"
"LUNA","Feid","FERXXOCALIPSIS","Lista De Javi","Playlist","USUM72318216"
"Young Miko: Bzrp Music Sessions, Vol. 58","Bizarrap","Young Miko: Bzrp Music Sessions, Vol. 58","Lista De Javi","Playlist","UYB282401001"
"Ficción","Costa","Ficción","Lista De Javi","Playlist","ESA011808741"
"F4F","Lucho RK","F4F","Lista De Javi","Playlist","BK4DA2327293"
"LA ÚLTIMA","Quevedo","LA ÚLTIMA","Lista De Javi","Playlist","BK4DA2401962"
