addedAt,addedBy,albumArtistsNames,albumName,albumPopularity,albumRecordLabel,albumReleaseDate,albumType,albumUpc,albumUrl,artistFollowers,artistGenres,artistName,artistPopularity,artistUrl,isLikedByUser,isLocal,secondaryArtistsNames,trackDuration,trackFeatureAcousticness,trackFeatureDanceability,trackFeatureEnergy,trackFeatureInstrumentalness,trackFeatureKey,trackFeatureLiveness,trackFeatureLoudness,trackFeatureMode,trackFeatureSpeechiness,trackFeatureTempo,trackFeatureTimeSignature,trackFeatureValence,trackIsrc,trackName,trackNumber,trackPopularity,trackUrl
2023-01-20T09:29:26Z,l59lqd55hcp1rmlg1xqbdxv6l,Quevedo,DONDE QUIERO ESTAR,87,Quevedo,2023-01-20,album,197338933862,https://open.spotify.com/album/156gxGFDxadwiIC3Bfwmj3,3931474,"Rap Canario, Trap Latino, Urbano Latino",Quevedo,84,https://open.spotify.com/artist/52iwsT98xCoGgiGntTiR7K,false,stream,,03:12,0.452,0.435,0.615,0.0,6,0.502,-5.632,1,0.0439,176.254,4,0.489,BK4DA2215299,ME FALTA ALGO,13,67,https://open.spotify.com/track/4YBgxy0sK4ykesIYuLldxz
2023-01-20T09:38:23Z,l59lqd55hcp1rmlg1xqbdxv6l,Quevedo,DONDE QUIERO ESTAR,87,Quevedo,2023-01-20,album,197338933862,https://open.spotify.com/album/156gxGFDxadwiIC3Bfwmj3,3931474,"Rap Canario, Trap Latino, Urbano Latino",Quevedo,84,https://open.spotify.com/artist/52iwsT98xCoGgiGntTiR7K,false,stream,,03:20,0.293,0.638,0.732,0.0,4,0.119,-4.87,0,0.0647,169.917,4,0.0717,BK4DA2215296,DONDE QUIERO ESTAR,16,63,https://open.spotify.com/track/7rJ1eWSl8VIoKW9Qj7ImSU
2023-01-24T16:11:48Z,l59lqd55hcp1rmlg1xqbdxv6l,LiL CaKe & Migrantes,MERCHO,72,Sony Music Argentina,2022-12-16,single,196589733009,https://open.spotify.com/album/5beJZJo0DqVaPVlA1cHwjj,163657,"Trap Argentino, Trap Triste",LiL CaKe,61,https://open.spotify.com/artist/0niAkxgT6y57bRbT0Ge94z,false,stream,Migrantes & Nico Valdi,02:41,0.431,0.838,0.79,3.33E-6,6,0.184,-1.602,0,0.108,92.927,4,0.962,ARF102200411,MERCHO,1,79,https://open.spotify.com/track/1DxEbt6OSbrkRthk6pjZue
2023-01-25T22:57:22Z,l59lqd55hcp1rmlg1xqbdxv6l,Fran Perea,La Chica de la habitacion de al lado,49,DRO/EastWest Spain,2003-10-20,album,643443628464,https://open.spotify.com/album/4dsIdh86S5dRJJtZxwsOI3,37784,Spanish Pop,Fran Perea,40,https://open.spotify.com/artist/5ZmqtSfV4bMseeYE96i7Nt,false,stream,,03:42,0.373,0.732,0.669,0.0,7,0.0922,-4.787,1,0.0296,117.046,4,0.795,ES7210311802,La vida al reves,2,41,https://open.spotify.com/track/4VAnPcac5kKq2kvQovE0iX
2023-02-02T07:44:31Z,l59lqd55hcp1rmlg1xqbdxv6l,Robledo & Alex Martini Dj,Dime Bbsita,43,Zamara Music S.L.,2020-04-09,single,195081339818,https://open.spotify.com/album/51umKcxYWMVU7qjxO4eWzS,33437,,Robledo,39,https://open.spotify.com/artist/5VyXOfvTQljStUXx1coETY,false,stream,Alex Martini,02:54,0.0766,0.813,0.544,0.0,5,0.371,-8.884,1,0.0577,95.019,4,0.707,ES54D2000005,Dime Bbsita,1,50,https://open.spotify.com/track/5mBWQ675Eb4j4fn6iuNnOe
2023-02-03T22:19:57Z,l59lqd55hcp1rmlg1xqbdxv6l,Saiko,1371 KM,56,2022 Saiko,2022-08-26,single,196925596985,https://open.spotify.com/album/4wBdC9qb2JWHUf4ZHLNnx2,608005,"Trap Latino, Urbano Espanol, Urbano Latino",Saiko,77,https://open.spotify.com/artist/2O8vbr4RYPpk6MRA4fio7u,false,stream,Came Beats,03:12,0.487,0.54,0.541,0.0,8,0.0969,-8.299,0,0.231,84.332,4,0.52,QMBZ92268688,Polaris,1,62,https://open.spotify.com/track/31jtlGwefCdtqNOSpLq82U
2023-02-03T22:20:00Z,l59lqd55hcp1rmlg1xqbdxv6l,Raul Clyde & Saiko,Tuenti (Remix),64,Raul Clyde x Saiko,2022-12-14,single,792268574583,https://open.spotify.com/album/5tvMf5MkyB97XVuVLa4xSd,27183,,Raul Clyde,59,https://open.spotify.com/artist/2PAyYzUdafG4mFFp6Rynsk,false,stream,Saiko,03:04,0.215,0.75,0.625,0.0,5,0.0968,-6.97,0,0.047,91.954,4,0.679,QZW9M2252408,Tuenti - Remix,1,71,https://open.spotify.com/track/1ZkIxbmM3ZUhn2OayBdwe5
2023-02-05T02:06:00Z,l59lqd55hcp1rmlg1xqbdxv6l,Feid,Ferxxo 100,64,Universal Music Latino,2022-06-03,single,00602448023759,https://open.spotify.com/album/1qI0hQjYttNGAFzXR4Pu3H,9747588,"Colombian Pop, Pop Reggaeton, Reggaeton, Reggaeton Colombiano, Trap Latino, Urbano Latino",Feid,91,https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo,false,stream,,02:47,0.252,0.701,0.568,0.0,8,0.153,-3.389,0,0.067,164.062,4,0.577,USUM72209716,Ferxxo 100,1,72,https://open.spotify.com/track/6ipzb1kHhWIxp1tS0vwqPl
2023-02-16T16:37:34Z,l59lqd55hcp1rmlg1xqbdxv6l,Walls,Por Partes,41,WM Spain,2018-04-27,single,190295131456,https://open.spotify.com/album/1RptX0H2W1D9vtY3nGuzd0,120126,Rap Conciencia,Walls,55,https://open.spotify.com/artist/6tvDaHOPNWfkc9Q8IghqSR,false,stream,,03:04,0.431,0.896,0.617,0.0,1,0.12,-7.963,1,0.136,105.023,4,0.915,ESA011806895,Por Partes,1,48,https://open.spotify.com/track/0bs3znECtSp5I5ZjMpj6Mh
2023-02-17T15:28:42Z,l59lqd55hcp1rmlg1xqbdxv6l,Quimico Ultra Mega,Vamo a dar una vuelta (Remix),11,europeo,2021-04-11,single,5059713692274,https://open.spotify.com/album/5UCY9EX7YW8dMS8otCkbTg,267865,"Dembow, Rap Dominicano, Trap Dominicano",Quimico Ultra Mega,55,https://open.spotify.com/artist/3tZdknQnzsVIIdaGCTj4RX,false,stream,Bryan Myers,04:50,0.455,0.815,0.69,0.0,9,0.0594,-5.459,0,0.289,79.992,4,0.711,UKXN22136502,Vamo a dar una vuelta - Remix,1,18,https://open.spotify.com/track/2yPRSEi8J68WKn3WXsiIUS
